blk	cat	idx	entry_off	flag	text_off	seg_size	참조여부	cond1_ptr	cond1_raw	탑승자	cond2_ptr	cond2_raw	cond2_items	그룹키	분류	JP본문	KR본문
363	0	12	0x0088	0x0800	0x0DE5	46	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！こ、このぉぉぉーっ！‖7c‖・落ち着いて戦って\n[7d]！‖7c‖！くそっ！\nそんなこと言ったって！‖78‖	！이，\n이노오옴！‖7c‖・침착하게　싸워\n[7d]！‖7c‖！젠장！　그런\n말　해봤자！‖78‖
363	0	13	0x0090	0x0800	0x0E13	45	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！こ、このぉぉぉーっ！‖7c‖・落ち着きなよ、\n[7d]！‖7c‖！くそっ、\nそんなこと言ったって！‖78‖	！이，\n이노오옴！‖7c‖・침착해，\n[7d]！‖7c‖！젠장，　그런\n말　해봤자！‖78‖
363	0	14	0x0098	0x0800	0x0E40	53	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！こ、このぉぉぉーっ！‖7c‖・落ち着いて戦ってください、\n[7d]さん！‖7c‖！くそっ、\nそんなこと言ったって！‖78‖	！이，\n이노오옴！‖7c‖・침착하게\n싸워주세요，　[7d]\n씨！‖7c‖！젠장，　그런\n말　해봤자！‖78‖
363	0	15	0x00A0	0x0800	0x0E75	36	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！や、やれるのか！？‖7c‖・大丈夫です[7d]、\n私達と、この子なら！‖78‖	！하，　할　수\n있는　거냐！？‖7c‖・괜찮아요\n[7d]，　우리와，　이\n아이라면！‖78‖
363	0	16	0x00A8	0x0800	0x0E99	38	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！や、やれるのか！？‖7c‖・大丈夫だよ[7d]、\nアタシ達と、この子なら！‖78‖	！하，　할　수\n있는　거냐！？‖7c‖・괜찮아\n[7d]，　우리와，　이\n아이라면！‖78‖
363	0	17	0x00B0	0x0800	0x0EBF	38	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！や、やれるのか！？‖7c‖・大丈夫です[7d]さん、\n私達と、この子なら！‖78‖	！하，　할　수\n있는　거냐！？‖7c‖・괜찮아요\n[7d]　씨，　우리와，\n이　아이라면！‖78‖
363	0	18	0x00B8	0x0800	0x0EE5	50	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！こんな事したくないんだ！\nだけどしょうがないだろ！‖7c‖・[7d]、\n集中して！‖7c‖！わかってるよ！‖78‖	！이런　짓　하고\n싶지　않아！　하지만　어쩔\n수　없잖아！‖7c‖・[7d]，\n집중해！‖7c‖！알고　있어！‖78‖
363	0	19	0x00C0	0x0800	0x0F17	48	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！こんな事したくないんだ！\nだけどしょうがないだろ！‖7c‖・[7d]、\n集中！‖7c‖！わかってるよ！‖78‖	！이런　짓　하고\n싶지　않아！　하지만　어쩔\n수　없잖아！‖7c‖・[7d]，\n집중！‖7c‖！알고　있어！‖78‖
363	0	20	0x00C8	0x0800	0x0F47	56	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x0800/c2-0xFFFF	A	！こんな事したくないんだ！\nだけどしょうがないだろ！‖7c‖・[7d]さん、\n集中してください！‖7c‖！わかってるよ！‖78‖	！이런　짓　하고\n싶지　않아！　하지만　어쩔\n수　없잖아！‖7c‖・[7d]\n씨，　집중해　주세요！‖7c‖！알고　있어！‖78‖
363	0	29	0x0110	0x8000	0x1015	24	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！いくぞ、カティア！‖7c‖・ええ、いつでもいいわ！‖78‖	！간다，\n카티아！‖7c‖・응，　언제든\n좋아！‖78‖
363	0	30	0x0118	0x8000	0x102D	24	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！いくぞ、テニア！‖7c‖・うん、いつでもいいよ！‖78‖	！간다，\n테니아！‖7c‖・응，　언제든\n좋아！‖78‖
363	0	31	0x0120	0x8000	0x1045	24	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！いくぞ、メルア！‖7c‖・はい、いつでもいいです！‖78‖	！간다，\n멜루아！‖7c‖・네，　언제든\n좋아요！‖78‖
363	0	32	0x0128	0x8000	0x105D	29	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！くそっ、こっちからいくぞ！\nいいなカティア！‖7c‖・ええ！‖78‖	！젠장，\n이쪽에서　간다！　됐지\n카티아！‖7c‖・응！‖78‖
363	0	33	0x0130	0x8000	0x107A	29	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！くそっ、こっちからいくぞ！\nいいなテニア！‖7c‖・うん！‖78‖	！젠장，\n이쪽에서　간다！　됐지\n테니아！‖7c‖・응！‖78‖
363	0	34	0x0138	0x8000	0x1097	28	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！くそっ、こっちからいくぞ！\nいいなメルア！‖7c‖・はい！‖78‖	！젠장，\n이쪽에서　간다！　됐지\n멜루아！‖7c‖・네！‖78‖
363	0	35	0x0140	0x8000	0x10B3	18	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・[7d]！‖7c‖！いける、これなら！\n[7f]！‖78‖	・[7d]！‖7c‖！돼，\n이거라면！　[7f]！‖78‖
363	0	36	0x0148	0x8000	0x10C5	18	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・[7d]！‖7c‖！いける、これなら！\n[7f]！‖78‖	・[7d]！‖7c‖！돼，\n이거라면！　[7f]！‖78‖
363	0	37	0x0150	0x8000	0x10D7	20	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・[7d]さん！‖7c‖！いける、これなら！\n[7f]！‖78‖	・[7d]\n씨！‖7c‖！돼，\n이거라면！　[7f]！‖78‖
363	0	38	0x0158	0x8000	0x10EB	31	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・このまま行くわ！\nいいわよね！？‖7c‖！頼む！　カティア！‖78‖	・이대로　간다！\n괜찮지！？‖7c‖！부탁한다！\n카티아！‖78‖
363	0	39	0x0160	0x8000	0x110A	30	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・このまま行くよ！\nいいよね！？‖7c‖！頼む！　テニア！‖78‖	・이대로　간다！\n괜찮지！？‖7c‖！부탁한다！\n테니아！‖78‖
363	0	40	0x0168	0x8000	0x1128	32	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・このまま行きます！\nいいですよね！？‖7c‖！頼む！　メルア！‖78‖	・이대로\n갑니다！　괜찮죠！？‖7c‖！부탁한다！\n멜루아！‖78‖
363	0	41	0x0170	0x8000	0x1148	34	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・今よ、[7d]！\n動きが止まったわ！‖7c‖！ああ、もらったっ！\n[7f]！‖78‖	・지금이야，\n[7d]！　움직임이\n멈췄어！‖7c‖！그래，\n잡았다！　[7f]！‖78‖
363	0	42	0x0178	0x8000	0x116A	34	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・今だよ、[7d]！\n動きが止まった！‖7c‖！ああ、もらったっ！\n[7f]！‖78‖	・지금이야，\n[7d]！　움직임이\n멈췄어！‖7c‖！그래，\n잡았다！　[7f]！‖78‖
363	0	43	0x0180	0x8000	0x118C	38	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・今です、[7d]さん！\n動きが止まりました！‖7c‖！ああ、もらったっ！\n[7f]！‖78‖	・지금이에요，\n[7d]　씨！　움직임이\n멈췄어요！‖7c‖！그래，\n잡았다！　[7f]！‖78‖
363	0	44	0x0188	0x8000	0x11B2	37	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・行くわよ、[7d]！‖7c‖！ああ、そっちは任せた！\nここで決めてやる！\n[7f]！‖78‖	・간다，\n[7d]！‖7c‖！그래，　그쪽은\n맡긴다！　여기서　끝내주마！\n[7f]！‖78‖
